Sigla,Disciplina,Periodo,Media Final,Frequência (%),Qtd.Faltas,Observação
AAG001,Administração Geral,20182,9.50,82%,14,Aprovado por Nota e Frequência
AGO005,Gestão de Projetos,20212,8.50,80%,16,Aprovado por Nota e Frequência
AGR107,Gestão de Equipes,20212,7.00,80%,8,Aprovado por Nota e Frequência
CCG006,Contabilidade,20191,8.60,85%,6,Aprovado por Nota e Frequência
CEE002,Empreendedorismo,20212,9.30,85%,6,Aprovado por Nota e Frequência
CEF100,Economia e Finanças,20192,7.90,90%,4,Aprovado por Nota e Frequência
EDS004,Estágio Supervisionado em Análise e Desenvolvimento de Sistemas,20221,--,--,0,Reprovado
EDS004,Estágio Supervisionado em Análise e Desenvolvimento de Sistemas,20222,--,--,0,Em Curso
EST017,Estatística Aplicada à Gestão,20222,7.30,--,0,Em Curso
HSO003,Ética e Responsabilidade Profissional,20212,7.50,95%,2,Aprovado por Nota e Frequência
HST002,Sociedade e Tecnologia,20192,7.40,87%,5,Aprovado por Nota e Frequência
IAC001,Arquitetura e Organização de Computadores,20182,8.80,87%,10,Aprovado por Nota e Frequência
IAL002,Algoritmos e Lógica de Programação,20182,6.70,82%,14,Aprovado por Nota e Frequência
IBD002,Banco de Dados,20201,8.00,85%,12,Aprovado por Nota e Frequência
IBD100,Laboratório de Banco de Dados (Escolha 1),20202,--,--,0,Trancamento de Matrícula
IBD100,Laboratório de Banco de Dados (Escolha 1),20211,--,--,0,Trancamento de Matrícula
IBD100,Laboratório de Banco de Dados (Escolha 1),20221,6.40,85%,12,Aprovado por Nota e Frequência
IED001,Estruturas de Dados,20192,6.00,95%,4,Aprovado por Nota e Frequência
IES100,Engenharia de Software I,20191,6.60,87%,10,Aprovado por Nota e Frequência
IES200,Engenharia de Software II,20192,7.00,82%,14,Aprovado por Nota e Frequência
IES300,Engenharia de Software III,20201,8.20,92%,6,Aprovado por Nota e Frequência
IES301,Laboratório de Engenharia de Software,20202,--,--,0,Trancamento de Matrícula
IES301,Laboratório de Engenharia de Software,20211,--,--,0,Trancamento de Matrícula
IES301,Laboratório de Engenharia de Software,20221,9.10,85%,12,Aprovado por Nota e Frequência
IHC001,Interação Humano Computador,20192,7.20,75%,10,Aprovado por Nota e Frequência
IHW100,Laboratório de Hardware,20182,9.60,95%,2,Aprovado por Nota e Frequência
IIA002,Inteligência Artificial (Escolha 3),20212,7.50,82%,14,Aprovado por Nota e Frequência
ILM001,Programação em Microinformática,20182,7.60,75%,20,Aprovado por Nota e Frequência
ILP007,Programação Orientada a Objetos,20201,6.00,92%,6,Aprovado por Nota e Frequência
ILP010,Linguagem de Programação,20191,6.10,85%,12,Aprovado por Nota e Frequência
ILP022,Programação em Scripts,20222,9.20,--,0,Em Curso
ILP502,Eletiva - Programação de Scripts,20201,3.00,85%,12,Reprovado por Nota
ILP502,Eletiva - Programação de Scripts,20202,--,--,0,Trancamento de Matrícula
ILP508,Eletiva - Programação WEB,20202,--,--,0,Trancamento de Matrícula
ILP508,Eletiva - Programação WEB,20211,--,--,0,Trancamento de Matrícula
ILP951,Programação para Internet,20222,8.80,--,0,Em Curso
IRC008,Redes de Computadores,20202,--,--,0,Trancamento de Matrícula
IRC008,Redes de Computadores,20211,--,--,0,Trancamento de Matrícula
IRC008,Redes de Computadores,20221,6.40,80%,16,Aprovado por Nota e Frequência
ISG003,Segurança da Informação,20202,--,--,0,Trancamento de Matrícula
ISG003,Segurança da Informação,20211,--,--,0,Trancamento de Matrícula
ISI002,Sistemas de Informação,20191,7.00,77%,18,Aprovado por Nota e Frequência
ISO100,Sistemas Operacionais I,20192,7.00,80%,16,Aprovado por Nota e Frequência
ISO200,Sistemas Operacionais II,20201,6.20,85%,12,Aprovado por Nota e Frequência
ITE002,Tópicos Especiais em Informática (Escolha 2),20212,--,76%,19,Reprovado por Nota
ITE002,Tópicos Especiais em Informática (Escolha 2),20221,8.90,100%,0,Aprovado por Nota e Frequência
ITI004,Gestão e Governança de Tecnologia da Informação,20212,10.00,100%,0,Aprovado por Nota e Frequência
LIN100,Inglês I,20182,8.30,95%,2,Aprovado por Nota e Frequência
LIN200,Inglês II,20191,7.30,82%,7,Aprovado por Nota e Frequência
LIN300,Inglês III,20192,6.60,95%,2,Aprovado por Nota e Frequência
LIN400,Inglês IV,20201,3.50,90%,4,Reprovado por Nota
LIN400,Inglês IV,20202,--,--,0,Trancamento de Matrícula
LIN400,Inglês IV,20222,--,--,0,Em Curso
LIN500,Inglês V,20202,--,--,0,Trancamento de Matrícula
LIN500,Inglês V,20211,--,--,0,Trancamento de Matrícula
LIN500,Inglês V,20221,8.30,75%,10,Aprovado por Nota e Frequência
LIN600,Inglês VI,20211,--,--,0,Trancamento de Matrícula
LIN600,Inglês VI,20212,6.20,77%,9,Aprovado por Nota e Frequência
LPO001,Comunicação e Expressão,20191,6.70,75%,20,Aprovado por Nota e Frequência
MCA002,Cálculo,20191,6.00,83%,13,Aprovado por Nota e Frequência
MET100,Estatística Aplicada,20192,5.80,77%,18,Reprovado por Nota
MMD001,Matemática Discreta,20182,7.40,87%,10,Aprovado por Nota e Frequência
MPL002,Programação Linear e Aplicações,20202,2.50,--,0,Trancamento de Matrícula
MPL002,Programação Linear e Aplicações,20211,--,--,0,Trancamento de Matrícula
MPL002,Programação Linear e Aplicações,20221,7.70,100%,0,Aprovado por Nota e Frequência
MPT005,Metodologia da Pesquisa Científico-tecnológica,20201,9.10,100%,0,Aprovado por Nota e Frequência
TDS001,Trabalho de Graduação I,20202,--,--,0,Trancamento de Matrícula
TDS001,Trabalho de Graduação I,20221,--,--,0,Aprovado
TDS002,Trabalho de Graduação II,20222,--,--,0,Em Curso
